                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.64641,                 0.8438,                0.71952,                 1.0385,                0.75135,                0.55556,                 0.5776,                0.43503,                0.75135,                0.55556,                 0.5776,                0.45258,                 1.1936,                 1.4583,                 1.8067,                 1.3114,              0.0001817,              0.0001817,              0.0001817
                     92,                0.65832,                0.82637,                0.68087,                 1.0403,                0.79299,                0.55556,                 0.6025,                0.46737,                0.80103,                0.56438,                0.61732,                0.48781,                 1.0987,                  1.498,                 1.7637,                 1.2733,              0.0001652,              0.0001652,              0.0001652
                     93,                0.65284,                0.73264,                0.65013,                   1.04,                0.79299,                0.55556,                 0.6025,                0.46737,                0.80103,                0.56438,                0.61732,                0.48781,                 1.0987,                  1.498,                 1.7637,                 1.2733,              0.0001487,              0.0001487,              0.0001487
                     94,                0.54983,                0.74722,                0.59395,                0.96145,                 0.8425,                0.55556,                0.61314,                 0.4673,                0.81157,                0.58641,                0.63455,                0.49474,                 1.0557,                  1.533,                  1.799,                 1.2247,             0.00013219,             0.00013219,             0.00013219
                     95,                0.54577,                0.78805,                0.56281,                0.94813,                0.93223,                0.55556,                 0.6586,                0.51841,                0.82038,                0.60552,                 0.6774,                0.51482,                 1.0882,                 1.5592,                 1.8662,                 1.2368,             0.00011569,             0.00011569,             0.00011569
                     96,                0.56754,                0.73511,                0.54851,                0.98458,                0.74646,                0.66667,                0.65759,                0.54032,                0.82024,                0.64482,                0.69831,                0.52191,                 1.0915,                 1.5581,                 1.8538,                 1.2356,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.58589,                0.77114,                0.59132,                0.99166,                0.74646,                0.66667,                0.65759,                0.54032,                0.82024,                0.64482,                0.69831,                0.52191,                 1.0915,                 1.5581,                 1.8538,                 1.2356,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.54802,                0.73657,                0.52182,                0.95255,                 0.8112,                0.66667,                0.67124,                0.55548,                0.87511,                0.66667,                0.71304,                0.53412,                 1.0719,                   1.55,                 1.7747,                 1.2212,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.52036,                0.69232,                 0.5359,                0.98274,                0.80666,                0.66667,                0.66922,                0.54969,                  0.901,                0.66667,                0.71731,                0.53632,                 1.0309,                 1.5398,                 1.7017,                 1.2037,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.55697,                0.78646,                0.57433,                0.99424,                0.88103,                0.66667,                0.68436,                0.55064,                0.88103,                0.66667,                0.71673,                0.53011,                0.99466,                 1.5296,                 1.6165,                 1.1809,             3.3173e-05,             3.3173e-05,             3.3173e-05
