                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                  0.823,                0.88542,                 1.1658,                 0.5736,                0.66318,                0.64609,                0.46771,                0.87424,                 1.6736,                 1.1642,             0.00082533,             0.00082533,             0.00082533
                    104,                0.83543,                0.87922,                 1.1688,                0.57606,                0.74877,                0.60952,                0.44634,                0.85842,                 1.4305,                 1.1628,             0.00081708,             0.00081708,             0.00081708
                    105,                0.82894,                0.82361,                 1.1626,                 0.5551,                0.73221,                0.64472,                0.47745,                0.83257,                  1.365,                 1.1387,             0.00080883,             0.00080883,             0.00080883
                    106,                0.82598,                0.81084,                 1.1656,                0.56721,                0.59791,                0.52262,                0.37528,                0.92747,                 1.4789,                 1.2084,             0.00080058,             0.00080058,             0.00080058
                    107,                0.83766,                 1.2427,                 1.1516,                0.47347,                0.65519,                0.57489,                0.43178,                0.91135,                 1.6611,                 1.2082,             0.00079233,             0.00079233,             0.00079233
                    108,                0.90366,                 1.0164,                 1.2051,                0.47287,                 0.7577,                0.64639,                0.47206,                0.86932,                 1.3489,                 1.1733,             0.00078407,             0.00078407,             0.00078407
                    109,                0.82797,                0.85365,                 1.1632,                0.50744,                0.78396,                0.65986,                0.49507,                0.83047,                 1.3803,                 1.1482,             0.00077582,             0.00077582,             0.00077582
                    110,                0.85719,                0.86831,                 1.1726,                0.72168,                 0.7466,                0.80675,                0.61756,                0.83507,                 1.0424,                 1.1362,             0.00076757,             0.00076757,             0.00076757
                    111,                0.83374,                0.89793,                 1.1927,                0.57283,                0.58985,                0.58536,                0.43603,                 0.9335,                 1.5125,                  1.201,             0.00075932,             0.00075932,             0.00075932
                    112,                 0.8534,                0.88193,                 1.1851,                0.69561,                0.70242,                0.73368,                0.55232,                0.81899,                 1.1488,                 1.1336,             0.00075107,             0.00075107,             0.00075107
                    113,                0.82955,                 0.8684,                   1.16,                0.71574,                0.72106,                0.77634,                0.58876,                0.82719,                0.97013,                 1.1505,             0.00074282,             0.00074282,             0.00074282
                    114,                0.80217,                0.89624,                   1.16,                0.66158,                 0.7099,                0.72595,                 0.5467,                0.84302,                 1.2259,                  1.153,             0.00073456,             0.00073456,             0.00073456
                    115,                0.81311,                0.77949,                 1.1572,                 0.6856,                0.70443,                0.75767,                0.56984,                0.87526,                 1.1795,                 1.1523,             0.00072631,             0.00072631,             0.00072631
                    116,                0.82987,                0.83581,                 1.1651,                0.51054,                0.65394,                0.57049,                 0.4379,                0.82687,                  1.768,                 1.1265,             0.00071806,             0.00071806,             0.00071806
                    117,                0.80203,                0.81563,                 1.1487,                0.57545,                0.77389,                0.67582,                0.51785,                0.82883,                 1.2006,                 1.1295,             0.00070981,             0.00070981,             0.00070981
                    118,                0.83509,                0.79385,                 1.1608,                0.60982,                0.74784,                  0.684,                0.52156,                0.83418,                 1.3295,                  1.136,             0.00070156,             0.00070156,             0.00070156
                    119,                0.78473,                0.85678,                 1.1409,                0.71562,                0.76641,                0.79082,                0.60189,                0.85563,                 1.0538,                 1.1471,             0.00069331,             0.00069331,             0.00069331
                    120,                0.78957,                 0.7668,                 1.1219,                0.53927,                0.73703,                0.61394,                0.45516,                0.90331,                 1.6051,                 1.2041,             0.00068505,             0.00068505,             0.00068505
                    121,                  0.828,                0.83578,                 1.1623,                0.68084,                0.76539,                0.77344,                 0.5754,                0.89855,                 1.1233,                 1.2115,              0.0006768,              0.0006768,              0.0006768
                    122,                0.79876,                0.82313,                 1.1429,                0.64241,                0.80246,                0.75849,                0.56684,                0.88281,                 1.1893,                  1.185,             0.00066855,             0.00066855,             0.00066855
                    123,                0.88849,                0.83353,                  1.207,                0.64758,                0.76757,                0.70867,                0.53634,                0.85782,                 1.1454,                 1.1515,              0.0006603,              0.0006603,              0.0006603
                    124,                0.80663,                0.82637,                 1.1522,                0.51965,                0.67868,                0.62892,                0.47925,                0.86305,                 1.5371,                 1.1671,             0.00065205,             0.00065205,             0.00065205
                    125,                0.80634,                0.87295,                 1.1431,                0.54326,                0.71423,                0.66502,                0.51921,                0.84842,                   1.44,                 1.1449,              0.0006438,              0.0006438,              0.0006438
                    126,                0.78825,                0.74034,                 1.1387,                0.68646,                0.70609,                0.73617,                0.59112,                0.78976,                  1.192,                 1.1033,             0.00063554,             0.00063554,             0.00063554
                    127,                0.75067,                0.73968,                   1.12,                0.66856,                0.65394,                0.62494,                0.46882,                0.82679,                 1.6934,                 1.1072,             0.00062729,             0.00062729,             0.00062729
                    128,                0.77115,                0.80619,                 1.1315,                0.57826,                0.57966,                0.61125,                0.46497,                0.85153,                 1.5599,                 1.1353,             0.00061904,             0.00061904,             0.00061904
                    129,                0.77339,                0.89902,                 1.1531,                0.57133,                 0.8085,                 0.7115,                0.55771,                0.78998,                 1.1787,                 1.0981,             0.00061079,             0.00061079,             0.00061079
                    130,                0.71931,                0.96996,                 1.0734,                0.58496,                0.63148,                0.61486,                 0.4957,                 0.7649,                 1.7431,                 1.0943,             0.00060254,             0.00060254,             0.00060254
                    131,                0.74549,                0.73319,                 1.1077,                  0.697,                0.73732,                0.73712,                0.58736,                0.77186,                 1.1393,                 1.0979,             0.00059429,             0.00059429,             0.00059429
                    132,                0.81982,                 0.7771,                 1.1488,                 0.7294,                0.75973,                 0.7776,                0.62422,                 0.7441,                0.96363,                 1.0661,             0.00058603,             0.00058603,             0.00058603
                    133,                 0.7781,                0.76505,                 1.1557,                0.52988,                0.63183,                 0.5798,                0.45932,                 0.8275,                 1.8176,                  1.129,             0.00057778,             0.00057778,             0.00057778
                    134,                0.80005,                0.73523,                 1.1549,                 0.6033,                 0.7341,                0.67265,                0.52738,                0.75822,                  1.448,                 1.0833,             0.00056953,             0.00056953,             0.00056953
                    135,                0.75479,                0.69344,                 1.1254,                0.62558,                0.69735,                0.69994,                0.54393,                0.78936,                 1.4013,                  1.105,             0.00056128,             0.00056128,             0.00056128
                    136,                0.77989,                 0.7313,                 1.1806,                0.69707,                0.68171,                 0.7488,                0.57124,                0.86461,                 1.2805,                 1.1485,             0.00055303,             0.00055303,             0.00055303
                    137,                0.78376,                0.76704,                 1.1392,                0.58521,                0.78198,                0.69305,                0.53368,                0.82967,                 1.3646,                 1.1263,             0.00054478,             0.00054478,             0.00054478
                    138,                0.74393,                0.84949,                 1.1388,                0.70948,                0.76416,                0.77482,                 0.5797,                0.83071,                 1.0404,                 1.1268,             0.00053652,             0.00053652,             0.00053652
                    139,                0.76651,                0.72833,                 1.1155,                0.62939,                0.69074,                0.67585,                0.51901,                0.82775,                  1.354,                  1.131,             0.00052827,             0.00052827,             0.00052827
                    140,                0.78801,                0.70184,                 1.1345,                0.66194,                0.74465,                 0.7507,                0.58502,                0.80034,                 1.1666,                 1.1136,             0.00052002,             0.00052002,             0.00052002
                    141,                 0.7513,                0.69763,                  1.135,                0.61204,                0.75273,                 0.7387,                 0.5815,                0.82441,                 1.3269,                 1.1474,             0.00051177,             0.00051177,             0.00051177
                    142,                0.77627,                0.75095,                 1.1224,                0.56043,                0.74675,                0.68055,                0.53268,                0.82872,                 1.3279,                  1.145,             0.00050352,             0.00050352,             0.00050352
                    143,                0.75427,                0.69044,                 1.1141,                0.55023,                0.81957,                0.67166,                0.52009,                0.80656,                 1.2688,                 1.1162,             0.00049527,             0.00049527,             0.00049527
                    144,                0.76655,                0.75017,                  1.137,                0.79252,                0.76671,                0.82451,                0.64812,                0.80406,                 0.9295,                 1.1102,             0.00048701,             0.00048701,             0.00048701
                    145,                0.73246,                0.67497,                 1.0886,                0.70866,                0.80684,                0.82072,                0.64915,                0.79862,                0.97967,                 1.1113,             0.00047876,             0.00047876,             0.00047876
                    146,                0.71475,                0.68416,                 1.0999,                0.54148,                0.68815,                0.63444,                0.47836,                0.89216,                 1.6183,                 1.1809,             0.00047051,             0.00047051,             0.00047051
                    147,                0.74906,                0.69479,                 1.1311,                0.70866,                0.73372,                0.75712,                0.59554,                0.79775,                 1.1804,                 1.1151,             0.00046226,             0.00046226,             0.00046226
                    148,                0.75721,                0.71767,                 1.1255,                0.71319,                0.71067,                0.76695,                0.55564,                0.90221,                  1.106,                 1.1756,             0.00045401,             0.00045401,             0.00045401
                    149,                0.70716,                0.65113,                 1.0906,                0.52286,                0.58604,                0.52678,                 0.3913,                0.91682,                 1.8449,                 1.2722,             0.00044576,             0.00044576,             0.00044576
                    150,                0.76532,                0.74777,                 1.1394,                0.68492,                0.76509,                 0.7293,                0.56537,                0.77098,                  1.131,                 1.1115,              0.0004375,              0.0004375,              0.0004375
